Gender,Age,Overweight family,Eats high caloric,eats vegatables ,number meals per day,eats food betw meals,smokes,water intake,monitors calories,frequency of physical activity,daily time spent on tech,alc consumption,mode of transport,obesity level
2,21,1,2,2,3,2,2,2,2,1,2,1,4,2
2,21,1,2,3,3,2,1,3,1,4,1,2,4,2
1,23,1,2,2,3,2,2,2,2,3,2,3,4,2
1,27,2,2,3,3,2,2,2,2,3,1,3,5,3
1,22,2,2,2,1,2,2,2,2,1,1,2,4,3
1,29,2,1,2,3,2,2,2,2,1,1,2,1,2
2,23,1,1,3,3,2,2,2,2,2,1,2,2,2
1,22,2,2,2,3,2,2,2,2,4,1,2,4,2
1,24,1,1,3,3,2,2,2,2,2,2,3,4,2
1,22,1,1,2,3,2,2,2,2,2,2,1,4,2
1,26,1,1,3,3,3,2,3,2,3,3,2,4,4
2,21,1,1,2,3,3,2,2,1,3,2,2,4,3
1,22,2,2,3,3,2,2,3,2,3,1,2,4,2
1,41,2,1,2,3,2,2,2,2,3,2,3,1,4
1,23,1,1,3,1,2,2,1,2,2,2,2,4,2
2,22,1,2,3,3,4,2,2,1,3,2,2,4,2
1,27,1,1,2,1,2,2,1,2,2,1,2,4,3
2,29,2,1,2,1,2,2,2,2,1,1,1,1,4
2,30,1,1,3,4,3,1,1,2,1,1,1,1,3
2,23,1,2,2,1,2,2,2,2,1,1,2,4,3
1,22,1,2,2,3,2,2,2,2,4,3,1,5,3
2,52,1,1,3,1,2,1,2,2,1,1,1,1,4
2,22,1,1,3,3,2,2,2,2,2,1,2,1,2
2,22,1,1,1,1,2,2,2,2,1,3,2,4,4
1,21,1,1,2,3,2,2,2,2,1,2,2,4,2
1,20,1,2,2,4,3,1,2,2,4,3,1,4,2
1,21,1,1,2,1,3,2,2,2,2,3,4,5,2
2,23,2,1,2,4,3,2,2,2,3,2,2,1,2
1,19,1,1,3,3,2,2,2,1,4,2,2,4,2
1,23,2,1,2,3,2,2,2,2,3,3,3,5,2
1,29,2,1,1,4,3,2,3,2,1,2,1,2,3
2,31,1,2,2,1,2,2,1,2,2,1,2,4,3
2,24,2,2,2,3,2,2,3,2,2,2,2,5,2
1,39,2,2,2,1,2,2,2,2,1,1,2,4,3
1,22,2,1,2,4,3,2,2,2,3,1,2,4,2
2,21,1,2,2,3,2,2,2,2,3,3,2,4,3
2,22,2,1,2,3,2,2,1,1,3,1,1,5,2
2,21,2,1,2,3,2,2,1,2,2,1,2,4,2
1,23,1,1,2,3,2,2,2,2,2,2,2,4,2
2,21,1,1,2,3,2,2,3,2,4,1,2,4,3
2,21,1,1,2,3,2,2,2,2,2,1,2,4,3
1,23,2,2,2,4,3,2,2,2,1,1,1,5,2
2,21,1,1,1,3,2,2,1,2,1,1,1,4,2
1,21,1,1,2,3,2,1,2,2,2,2,3,4,2
1,21,2,2,1,3,1,2,2,2,3,1,1,4,2
2,21,1,2,2,3,2,2,1,2,1,2,1,4,3
1,21,1,1,1,3,3,2,3,2,3,1,2,4,2
1,21,1,1,1,3,3,2,3,2,3,1,2,4,2
2,20,1,2,3,3,2,2,2,2,2,1,2,5,2
2,21,2,1,2,3,2,2,2,2,1,1,2,4,2
2,21,1,1,3,3,2,2,3,2,1,2,2,5,2
2,20,2,1,2,3,2,2,1,2,1,1,2,1,2
2,23,2,1,3,1,2,2,2,2,3,3,1,4,2
2,23,1,2,3,3,1,2,2,1,3,2,1,4,2
2,22,2,2,3,4,4,2,3,2,3,1,1,4,2
1,23,2,2,2,4,3,2,2,2,1,1,2,1,2
1,22,1,1,2,3,2,2,1,2,1,2,2,1,2
1,21,1,2,2,3,2,2,1,2,1,2,1,4,2
2,17,1,1,3,1,2,2,2,2,2,2,1,5,2
